"ticker","date","value","field","variable","nice_field"
"MXFEJ Index",2010-07-30,1.6931,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-08-31,1.6847,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-09-30,1.8706,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-10-29,1.9216,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-11-30,1.8095,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-12-31,1.905,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-01-31,1.9136,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-02-28,1.8343,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-03-31,1.7772,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-04-29,1.8523,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-05-31,1.7379,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-06-30,1.685,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-07-29,1.7043,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-08-31,1.4857,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-09-30,1.2869,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-10-31,1.4482,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-11-30,1.3639,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2011-12-30,1.3801,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-01-31,1.5141,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-02-29,1.6049,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-03-30,1.5283,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-04-30,1.5338,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-05-31,1.3175,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-06-29,1.3453,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-07-31,1.3789,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-08-31,1.3552,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-09-28,1.4594,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2012-10-31,1.4603,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
